,ENTIDAD,OBJETIVO,IMPORTE,AÑO
327,"UNIVERSIDAD DEL PAIS VASCO / EUSKAL HERRIKO UNIBERTSITATEA - MUSEO MARITIMO RÍA DE BILBAO - AURTENETXEA CONTAINERS, SA","Intervenciones artísticas UPV, Containers Aurtenextxea y Museo Marítimo Bilbao Art District","1.500,00 €",2016
328,AYUNTAMIENTO DE BILBAO (ÁREA EUSKERA Y EDUCACIÓN),Normalización uso del euskera en el comercio,"30.000,00 €",2016
329,AYUNTAMIENTO DE BILBAO (ÁREA DE OBRAS Y SERVICIOS),Colaboración con el Área de Obras y Servicios,-,2016
330,"EUSKO TRENBIDEAK - FERROCARRILES VASCOS, SA",Viajes tranvía BICB,-,2016
331,"SOCIEDAD PUBLICA DE GESTIÓN AMBIENTAL, IHOBE, SA",Colaboración para la celebración de la 8a Conferencia Europea de Ciudades y Pueblos Sostenibles (ICEI),"36.000,00 €",2016
332,UNIVERSIDAD DE LA IGLESIA DE DEUSTO,Promoción Economía productiva Bilbao Next Lab 2016-2018,"600.000,00 €",2016
333,ASOCIACIÓN DE APOYO AL DESARROLLO EMPRESARIAL DEMA-ENPRESA GARAPENA DE BARAKALDO,Programa Taldeka-Equipos de Emprendimiento,-,2016
334,AJEDREZ BILBAO E4,Grand Slam Ajedrez y Open Internacional Villa de Bilbao,"200.000,00 €",2016
335,"NUEVO MICRO BANK, SAU",Colaboración financiación emprendedores,-,2016
336,SERVICIO DE PREVENCIÓN MANCOMUNADO DE LAS ENTIDADES MUNICIPALES DE BILBAO,Actualización de las evaluaciones de riesgo en el ámbito municipal,-,2016
337,"CLUB DEPORTIVO BASKET BILBAO BERRI, SAD",Cesión del Bilbao Arena,-,2016
338,CONSORCIO DE TRANSPORTES DE BIZKAIA,Tarjetas Barik Build 2016,Coste según tarifas oficiales,2016
339,FUNDACIÓN SOLIDARTERS.COM,Fair Saturday 2016,"25.000,00 €",2016
340,UNIVERSIDAD DE LA IGLESIA DE DEUSTO,Technoshop 2016,"30.000,00 €",2016
341,FUNDACION ADSIS,Eurocip VII,-,2016
342,ESCUELA PROFESIONAL DE OTXARKOAGA,Eurocip VII,-,2016
343,"PEÑASCAL, S.COOP.",Eurocip VII,-,2016
344,"BASQUETOUR TURISMOAREN EUSKAL AGENTZIA AGENCIA VASCA DE TURISMO, SA",Acciones año 2016,"10.000,00 €",2016
345,UNIVERSIDAD DE LA IGLESIA DE DEUSTO,Tursimo Urbano 2016/2017,-,2016
346,"DIPUTACIÓN FORAL DE BIZKAIA - BASQUETOUR TURISMOAREN EUSKAL AGENTZIA AGENCIA VASCA DE TURISMO, SA",Routes Europe 2018,"333.333,00 €",2016
347,"MIK, S.COOP.",Análisis y desarrollo del sector de Servicios Avanzados en Bilbao,-,2016
348,ERABERRIKUNTZA ETA EZAGUTZAN ADITUAK DIREN PERTSONEN MUGIKORTASUNA SUSTATZEKO ELKARTEA - BIZKAIA TALENT,Dual Career,-,2016
349,UNIVERSIDAD DEL PAIS VASCO / EUSKAL HERRIKO UNIBERTSITATEA,Plan Emprende,"25.000,00 €",2016
350,ASOCIACIÓN CENTRO DE INNOVACIÓN DE BILBAO-CIB,Bilbao Berrikuntza Garage,-,2016
